EK,UK,UUK,Kennzeichen,Klassendefinition,Klassenname,Beispiele,Target
B,,,B,Objekt zur Erfassung und Darstellung von Informationen,Erkennungsobjekt,,Objekt zur Erfassung und Darstellung von Informationen
B,,,B,Objekt zur Erfassung und Darstellung von Informationen,Erkennungsobjekt,,Erkennungsobjekt
B,BA,,BA,Erkennungsobjekt für elektrisches Potential,Objekt zur Erkennung von elektrischem Potential,,Erkennungsobjekt für elektrisches Potential
B,BA,,BA,Erkennungsobjekt für elektrisches Potential,Objekt zur Erkennung von elektrischem Potential,,Objekt zur Erkennung von elektrischem Potential
B,BA,BAA,BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,Spannungswandler für Messzwecke,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang"
B,BA,BAA,BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,Spannungswandler für Messzwecke,Spannungswandler
B,BA,BAA,BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,Spannungswandler für Messzwecke,Spannungswandler für Messzwecke
B,BA,BAA,BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,Kopplungskondensator,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang"
B,BA,BAA,BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,Kopplungskondensator,Spannungswandler
B,BA,BAA,BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,Kopplungskondensator,Kopplungskondensator
B,BA,BAB,BAB,"Objekt zur Erkennung von elektrischem Potential, mit Booleschem Ausgang",Spannungsrelais,Messspannungsrelais,Messspannungsrelais
B,BA,BAB,BAB,"Objekt zur Erkennung von elektrischem Potential, mit Booleschem Ausgang",Spannungsrelais,Messspannungsrelais,"Objekt zur Erkennung von elektrischem Potential, mit Booleschem Ausgang"
B,BA,BAB,BAB,"Objekt zur Erkennung von elektrischem Potential, mit Booleschem Ausgang",Spannungsrelais,Messspannungsrelais,Spannungsrelais
B,BB,,BB,Erkennungsobjekt für Widerstand oder Leitfähigkeit,Objekt zur Erkennung von Widerstand,,Erkennungsobjekt für Widerstand oder Leitfähigkeit
B,BB,,BB,Erkennungsobjekt für Widerstand oder Leitfähigkeit,Objekt zur Erkennung von Widerstand,,Objekt zur Erkennung von Widerstand
B,BB,BBA,BBA,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Skalarausgang",Messgerät für elektrischen Widerstand,,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Skalarausgang"
B,BB,BBA,BBA,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Skalarausgang",Messgerät für elektrischen Widerstand,,Messgerät für elektrischen Widerstand
B,BB,BBB,BBB,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Booleschem Ausgang",Detektor für elektrischen Widerstand,,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Booleschem Ausgang"
B,BB,BBB,BBB,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Booleschem Ausgang",Detektor für elektrischen Widerstand,,Detektor für elektrischen Widerstand
B,BB,BBC,BBC,"Widerstanderkennungsobjekt für Wärmefluss, mit Skalarausgang",Messgerät für thermischen Widerstand,,Messgerät für thermischen Widerstand
B,BB,BBC,BBC,"Widerstanderkennungsobjekt für Wärmefluss, mit Skalarausgang",Messgerät für thermischen Widerstand,,"Widerstanderkennungsobjekt für Wärmefluss, mit Skalarausgang"
B,BB,BBD,BBD,"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem Ausgang",Detektor für thermischen Widerstand,,Detektor für thermischen Widerstand
B,BB,BBD,BBD,"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem Ausgang",Detektor für thermischen Widerstand,,"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem Ausgang"
B,BC,,BC,Erkennungsobjekt für elektrischen Strom,Objekt zur Erkennung von elektrischem Strom,,Erkennungsobjekt für elektrischen Strom
B,BC,,BC,Erkennungsobjekt für elektrischen Strom,Objekt zur Erkennung von elektrischem Strom,,Objekt zur Erkennung von elektrischem Strom
B,BC,BCA,BCA,"Objekt zur Erkennung von elektrischem Strom, mit Skalarausgang",Stromwandler,Messstromwandler,"Objekt zur Erkennung von elektrischem Strom, mit Skalarausgang"
B,BC,BCA,BCA,"Objekt zur Erkennung von elektrischem Strom, mit Skalarausgang",Stromwandler,Messstromwandler,Stromwandler
B,BC,BCA,BCA,"Objekt zur Erkennung von elektrischem Strom, mit Skalarausgang",Stromwandler,Messstromwandler,Messstromwandler
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,elektronisches Überlastrelais,elektronisches Überlastrelais
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,elektronisches Überlastrelais,Stromrelais
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,elektronisches Überlastrelais,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang"
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,Messstromrelais,Messstromrelais
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,Messstromrelais,Stromrelais
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,Messstromrelais,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang"
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,Überlastrelais,Überlastrelais
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,Überlastrelais,Stromrelais
B,BC,BCB,BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,Überlastrelais,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang"
B,BD,,BD,Erkennungsobjekt für Dichte,Dichteerkennungsobjekt,,Erkennungsobjekt für Dichte
B,BD,,BD,Erkennungsobjekt für Dichte,Dichteerkennungsobjekt,,Dichteerkennungsobjekt
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Hydrometer,Dichtemesswertgeber
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Hydrometer,"Dichteerkennungsobjekt, mit Skalarausgang"
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Senkwaage,Senkwaage
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Senkwaage,Dichtemesswertgeber
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Hydrometer,Hydrometer
B,BD,BDA,BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,Dichtesensor,Dichtesensor
