Kennbuchstabe,Klassendefinition,Klassenname,Beispiele
B,Objekt zur Erfassung und Darstellung von Informationen,Erkennungsobjekt,
BA,Erkennungsobjekt für elektrisches Potential,Objekt zur Erkennung von elektrischem Potential,
BAA,"Objekt zur Erkennung von elektrischem Potential, mit Skalarausgang",Spannungswandler,"Kopplungskondensator, Spannungswandler für Messzwecke"
BAB,"Objekt zur Erkennung von elektrischem Potential, mit Booleschem Ausgang",Spannungsrelais,Messspannungsrelais
BB,Erkennungsobjekt für Widerstand oder Leitfähigkeit,Objekt zur Erkennung von Widerstand,
BBA,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Skalarausgang",Messgerät für elektrischen Widerstand,
BBB,"Widerstanderkennungsobjekt für elektrischen Stromfluss, mit Booleschem Ausgang",Detektor für elektrischen Widerstand,
BBC,"Widerstanderkennungsobjekt für Wärmefluss, mit Skalarausgang",Messgerät für thermischen Widerstand,
BBD,"Widerstanderkennungsobjekt für Wärmefluss, mit Booleschem Ausgang",Detektor für thermischen Widerstand,
BC,Erkennungsobjekt für elektrischen Strom,Objekt zur Erkennung von elektrischem Strom,
BCA,"Objekt zur Erkennung von elektrischem Strom, mit Skalarausgang",Stromwandler,Messstromwandler
BCB,"Objekt zur Erkennung von elektrischem Strom, mit Booleschem Ausgang",Stromrelais,"elektronisches Überlastrelais, Messstromrelais, Überlastrelais"
BD,Erkennungsobjekt für Dichte,Dichteerkennungsobjekt,
BDA,"Dichteerkennungsobjekt, mit Skalarausgang",Dichtemesswertgeber,"Senkwaage, Dichtesensor, Hydrometer"
BDB,"Dichteerkennungsobjekt, mit Booleschem Ausgang",Dichteschalter,Dichtesensor
BE,Erkennungsobjekt für Spannungsfeld,Spannungsfelderkennungsobjekt,
BEA,"Felderkennungsobjekt für elektrische Felder, mit Skalarausgang",Elektrischer Feldsensor,
BEB,"Felderkennungsobjekt für elektrische Felder, mit Booleschem Ausgang",Elektrischer Felddetektor,
BEC,"Felderkennungsobjekt für Magnetfelder, mit Skalarausgang",Magnetfeldsensor,
BED,"Felderkennungsobjekt für Magnetfelder, mit Booleschem Ausgang",Magnetfelddetektor,"Reedrelais, Reedschalter"
BF,Erkennungsobjekt für Durchfluss,Durchflusserkennungsobjekt,
BFA,"Durchflusserkennungsobjekt, mit Skalarausgang",Durchflussmesswertgeber,"Durchflusssensor, Gasflusssensor, Flüssigkeitsflusssensor, Feststoff-flusssensor, Wasserflusssensor"
BFB,"Durchflusserkennungsobjekt, mit Booleschem Ausgang",Durchflussschalter,"Gasflussschalter, Feststofffluss-schalter"
BG,Erkennungsobjekt für räumliche Dimension und/oder Position,Objekt zur Erkennung von physikalischen Dimensionen,
BGA,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Skalarausgang",Positionsmesswertgeber,"Positionssensor, Präsenzdetektor, Radar, Windrichtungssensor"
BGB,"Objekt zur Erkennung physikalischer Dimensionen der Position, mit Booleschem Ausgang",Positionsschalter,"Bewegungsdetektor, Bewegungs-sensor (PIR), Positionssensor, Präsenzdetektor"
BGC,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Skalarausgang",Distanzmesswertgeber,"Laserdistanzsensor, Positions-sensor, Sichtbarkeitssensor"
BGD,"Objekt zur Erkennung physikalischer Dimensionen für Längen, mit Booleschem Ausgang",Distanzschalter,"Laserdistanzsensor, Laserdistanz-Erkennungsschalter, Bewegungs-detektor, Bewegungssensor (PIR), Positionssensor, Präsenzdetektor, Sichtbarkeitsdetektor"
BGE,"Objekt zur Erkennung physikalischer Dimensionen für Winkel oder Richtungen, mit Skalarausgang",Winkelmesswertgeber,"Ausrichtungssensor, Anschlag, Positionssensor, Positions-messwertgeber, Drehgeber, Anzeigeeinrichtung, Windrich-tungsanzeige"
