Kennzeichen,Beispiele
AAA,Raum
AAA,Bewohnbarer Raum zur persönlichen Nutzung
AAB,Wohnraum
AAB,Bewohnbarer Raum zur gemeinsamen Nutzung
AAC,Bewohnbarer Raum zum Warten
AAC,Warteraum
AAD,Hof
AAD,"Bewohnbarer Raum,vollständig oder teilweise in Außenbereichen und von Gebäuden umschlossen"
ABA,Persönlicher Hygieneraum zum Waschen und Erleichtern
ABA,Badezimmer
ABB,Toilette
ABB,Persönlicher Hygieneraum zum Erleichtern
ABC,Babywickelraum
ABC,Persönlicher Hygieneraum für die Körperpflege von Babys
ABD,Umkleideraum
ABD,Persönlicher Hygieneraum zum Wechseln von Kleidung
ABE,Dusche
ABE,"Persönlicher Hygieneraum, in dem sich Menschen waschen können"
ABF,Sauna
ABF,Persönlicher Hygieneraum zum Schwitzen
ACA,Unterstand
ACA,Isolationsraum zum Schützen von Personen vor gefährlichen oder riskanten Situationen
ACB,Zelle
ACB,Isolationsraum zum Auseinanderhalten mehrerer Personen
B,Erkennungsobjekt
B,Objekt zur Erfassung und Darstellung von Informationen
BA,Kopplungskondensator
BA,Spannungswandler
BA,Spannungsrelais
BA,Spannungswandler für Messzwecke
BA,Messspannungsrelais
BAA,Kopplungskondensator
BAA,Spannungswandler für Messzwecke
BAA,Büro
BAA,"Arbeitsraum zum Erstellen, Verarbeiten und Interpretieren von Informationen"
BAB,Messspannungsrelais
BAB,Meetingraum
BAB,Arbeitsraum für Zusammenkünfte
BAC,Arbeitsraum zum Empfang von Gästen und Gütern
BAC,Rezeption
BAD,Verkaufsbereich
BAD,Arbeitsraum zum Verkauf von Gütern und Dienstleistungen
BAE,Arbeitsraum zum Übermitteln von Wissen und Kompetenzen
BAE,Lehrraum
BAF,Arbeitsraum zum Lesen
BAF,Lernzimmer
BAG,Arbeitsplatz zum Waschen von Kleidung und Leinen
BAG,Waschraum
BAH,Arbeitsraum zur medizinischen Versorgung und anderen Behandlung und Pflege von Personen
BAH,Behandlungsraum
BAJ,Untersuchungsraum
BAJ,Arbeitsraum für Diagnosen
BAK,Überwachungsraum
